id,claim,value,source_file,how_computed
K01,"$10 bonus is a LOTTERY: 100 of ~18,000 respondents paid",p(paid)=100/18000=0.556%; expected cost of donating $1 = $0.0056,/workspace/benchmark/survey/survey.qsf QID1721185865,"verbatim QuestionText: ""we will randomly select 100 participants from this study to receive a $10 bonus payment""; parsed JSON"
K02,AMS recipient framing,"""non-profit, non-partisan society of 12,000 scientists and other professionals that supports climate change research""",/workspace/benchmark/survey/survey.qsf QID1721185866,verbatim QuestionText
K03,donation elicitation format,"11-option single-answer horizontal grid $0..$10, RecodeValues 0..10, ForceResponse=RequestResponse, no default choice",/workspace/benchmark/survey/survey.qsf QID1721185866,parsed Payload Choices/RecodeValues/Validation
K04,donation and newsletter are NOT last: both are 2 of 7 RANDOMLY ORDERED secondary blocks,"BlockRandomizer(7, EvenPresentation=False) over: trust single post, donation, distrust single post, scientists role, funding, institutional trust, subscription newsletter; primary trust battery always first",/workspace/benchmark/survey/survey.qsf SurveyFlow (FL element),walked SurveyFlow JSON tree; mapped BL ids to Descriptions from BL elements
K05,voelkel2026 donation control mean,"61.54 cents of 100 (sd 45.32, n=3,046); 31.0% give 0, 49.3% give 100, median 95",/workspace/datasets/voelkel2026/downloads/CCC - Data - Recoded.csv,"Donation = Donation_1..5 sum (per CCC Script Step 2); ConditionR==""Control"" rows"
K06,voelkel2026 donation pooled treated-vs-control ATE,"-1.385 pp of range, SE 0.937, t=-1.48, p=0.14; n_tr=10,127 n_ct=3,046",same,"Welch t-test on Donation, treated = all 10 message arms"
K07,voelkel2026 donation ANCOVA ATE (8 pre-treatment attitude covariates),"-1.686 pp, SE 0.897, t=-1.88, p=0.060, n=13,072",same,"OLS Donation ~ treat + Belief_Pre+Concern_Pre+Policies_Pre+Intent_Pre+PoliciesSp_Pre+Candidate_Pre+Companies_Pre+IntentNp_Pre (numpy lstsq, homoskedastic SE)"
K08,"voelkel2026 DIRECT effect of message on donation, holding post-treatment attitudes fixed","-2.424 pp, SE 0.906, t=-2.67, p=0.008",same,"OLS adds the 8 *_Post attitude composites; descriptive decomposition, not causal mediation"
K09,voelkel2026 donation between-arm SD,raw SD across 10 arms = 1.188 pp; mean arm SE = 1.647 pp; noise-corrected SD = 0.000 pp,same,"var(ATE) - mean(SE^2), floored at 0"
K10,"voelkel2026 attitude ATEs (8 outcomes), pooled treated-vs-control","+1.42 belief, +1.70 concern, +1.06 policies, +2.78 intent, +1.44 policies-specific, +1.47 candidate, +1.29 companies, +1.03 non-political intent (pp)",same,"Welch pooled diffs, 0-100 scales"
K11,voelkel2026: three placebo controls agree,"Baseball 61.01 (n=1012), Neckties 61.61 (n=1025), Dances 62.00 (n=1009)",same,group means; empirical arm-level noise floor
K12,voelkel2026: donation shift is NOT fatigue,"arm-level corr(donation ATE, median Time_Treatment) = +0.077; control reading times 58-84 s vs treatment 51-156 s",same,Pearson over 10 arms; medians by Condition
K13,voelkel2026: donation does not track attitudes across arms,"arm-level corr(donation ATE, mean of 8 attitude ATEs) = -0.276, OLS slope -0.395",same,Pearson/polyfit over 10 arms
K14,voelkel2026 donation party moderation,"Democrat -0.33 (SE 1.34), Republican -1.46 (SE 1.47), Neither -5.05 (SE 2.62) pp",same,pooled treated-vs-control within PartyC3
K15,vlasceanu2024 WEPT pooled ATE (global),"-2.248 pp of 0-8 range, SE 0.628, t=-3.58, p=0.00035; n_tr=54,307 n_ct=5,085; control mean 5.00/8","/workspace/datasets/vlasceanu2024/downloads/data63.xlsx (sheet ""data4joe (1)"")","Welch t-test on WEPTcc, 100*d/8"
K16,vlasceanu2024 WEPT pooled ATE (US),"-3.626 pp, SE 1.761, t=-2.06, p=0.040; n_tr=7,584 n_ct=669","same, Country==""Usa""",same
