id,claim,value,source_file,how_computed
M01,5 donation recipients in voelkel2026 (verbatim),"The Nature Conservancy / World Wildlife Fund / Environmental Defense Fund / Natural Resources Defense Council / Sierra Club; ""You have 100 cents total to donate... We will pay you the remaining amount""",/workspace/datasets/voelkel2026/downloads/CCC - Questionnaire.pdf p.28,"pypdf text extraction, ""Donation Behavior"" section"
M02,voelkel2026 control levels per recipient (cents),TNC 13.757 / WWF 21.663 / EDF 9.267 / NRDC 8.402 / Sierra 8.452 / total 61.541 / kept 38.459,"CCC - Data - Recoded.csv, ConditionR==""Control"", n=3,183",mean of Donation_1..6 and Donation
M03,voelkel2026 pooled treated-vs-control ATE per recipient (pp),"TNC -0.244+/-0.426, WWF -1.348+/-0.600, EDF +0.203+/-0.312, NRDC -0.153+/-0.284, Sierra +0.157+/-0.315, TOTAL -1.385+/-0.937","same file, 9,990 treated vs 3,183 control","difference of means, Welch SE"
M04,"voelkel2026 share-of-donated reallocation (donors only, pp of share)","WWF -1.683+/-0.438, EDF +0.673+/-0.255, Sierra +0.448+/-0.256, TNC +0.344+/-0.325, NRDC +0.060+/-0.220","same file, Donation>0",share_k = Donation_k/Donation; inverse-variance pool over the 10 message arms
M05,voelkel2026 message-content x recipient interaction,noise-corrected between-arm SD of the share ATE = 0.000 for ALL FIVE recipients (raw SD 0.57-1.00 vs mean SE 0.70-1.39),"same file, 10 message arms","sqrt(max(0, var(ATE) - mean(SE^2)))"
M06,voelkel2026 control-group attitude elasticity of each recipient (cents per SD of the 9-item pre-treatment climate composite),"TNC +2.474+/-0.372 (+18.0% of level), WWF -1.994+/-0.528 (-9.2%), EDF +4.374+/-0.259 (+47.2%), NRDC +3.542+/-0.241 (+42.2%), Sierra +2.686+/-0.269 (+31.8%), TOTAL +11.082+/-0.796 (+18.0%)","same file, control only (n=3,183)","OLS of cents on z(pre_att); pre_att = mean of Belief_Pre_1-3, Concern_Pre_1-3, Policies_Pre_1-3"
M07,voelkel2026 attitude ATE,raw +1.401+/-0.532 pp; ANCOVA on pre +1.060+/-0.155 pp; control SD(pre)=25.58 -> 0.041-0.055 SD,same file,difference of means and OLS post~treat+pre on the 9-item composite
M08,voelkel2026 DIRECT effect on total donation (holding post-treatment attitudes fixed),-1.848+/-0.906 pp with 9 post covariates; -1.885+/-0.906 with 1; -2.463+/-0.898 with all 35 post outcome items,"same file, n=13,149",OLS Donation ~ treat + post attitude covariates
M09,voelkel2026 per-recipient DIRECT effect (9 post covariates),"TNC -0.320+/-0.422, WWF -1.217+/-0.592, EDF +0.010+/-0.305, NRDC -0.347+/-0.272, Sierra +0.026+/-0.315",same file,OLS Donation_k ~ treat + 9 post attitudes
M10,"within-study alignment gradient (voelkel2026, 5 recipients)","corr(direct % of level, attitude elasticity % of level) = +0.65; slope +0.078 [bootstrap 95% CI -0.059, +0.209], P(slope>0)=0.86","same file, 300 respondent-level bootstrap replicates, seed 7",regression across the 5 recipients
M11,voelkel2024 dictator game verbatim,"""You have been given 50 cents. You will now decide how to split these 50 cents between yourself and the [outparty] participant.""",/workspace/datasets/voelkel2024/downloads/SDC - Questionnaire.pdf,"pypdf, block ""Partisan Animosity: Dictator Game"""
M12,voelkel2024 raw giving level and the recode direction,raw PA_DG_1 mean 19.297 cents of 50 = 38.6% given; recoded PA_DG = 100 - 2*raw (higher = MORE animosity = LESS given); control level = 35.45% of endowment,SDC - Data - Anonymized.csv (PA_DG_1) and SDC - Data - Recoded.csv (PA_DG),means; 100 - 64.547 = 35.453. CORRECTS the claim that voelkel2024 gave ~60% of its endowment
M13,voelkel2024 pooled ATE on giving,+3.954+/-0.353 pp of range (giving direction); matched out-party attitude ATE +4.755+/-0.321 pp,"SDC - Data - Recoded.csv, 25 arms (26,196) vs Null_Control+Alternative_Control (6,824)","difference of means, signs flipped to the giving direction"
M14,voelkel2024 DIRECT effect on giving (holding post-treatment out-party attitudes fixed),+1.973+/-0.319 pp (1 covariate PA_Out); +2.045+/-0.321 (3 cov); +2.054+/-0.317 (12 cov),"same file, n=30,941-31,835","OLS PA_DG ~ treat + post attitudes, sign flipped"
M15,voelkel2024 control-group elasticity,+10.503+/-0.289 pp of DG per SD of out-party attitude (SD=23.09); +16.3% of the animosity level,"same file, controls only",OLS
M16,vlasceanu2024 WEPT recipient (verbatim),"""For each page that you correctly complete, we will make a donation of one tree to the Eden Reforestation Project""","/workspace/datasets/vlasceanu2024/downloads/materials/usa_1.qsf, QID29",regex over the QSF JSON
M17,"vlasceanu2024 WEPT: level, ATE, direct",control level 62.483 pp of range (4.999 of 8 pages); ATE -2.253+/-0.628; DIRECT -2.545+/-0.627,"data63.xlsx, 54,304 treated vs 5,085 control",WEPTcc*100/8; OLS ~ treat + post belief/policy composite
M18,"vlasceanu2024 SHARE: level, ATE, direct",control level 48.476 pp; ATE +6.417+/-0.838; DIRECT +5.652+/-0.807,"data63.xlsx, n=44,009 non-missing",SHAREcc*100; same specification
M19,"koetke2024 S5 opt-in: level, ATE, direct",control level 44.0%; ATE -8.026+/-4.635; DIRECT -8.540+/-4.564 (METI reverse-coding of item 1 applied),"Study 5/Study5CleanData.csv, n=617 (62 ""maybe"" responses dropped)",difference of means; OLS ~ treat + 14-item METI mean
M20,spampatti2023 WEPT is uninformative,no neutral control - the reference arm also read the disinformation; recipient is the same Eden Reforestation tree donation,Data/Preprocessed/Showdown_short.csv; Materials/Main_Survey_Spampatti_et_al.qsf QID454,inspection
M21,pooled CAUSE-aligned direct effect,-2.319+/-0.516 pp (inverse-variance pool of voelkel2026 -1.848+/-0.906 and vlasceanu WEPT -2.545+/-0.627),"M08, M17",inverse-variance pooling
M22,RECIPIENT-ALIGNMENT SWING,subject-aligned (+1.973+/-0.319) minus cause-aligned (-2.319+/-0.516) = +4.292+/-0.606 pp (7.1 sigma),"M14, M21",difference of two independent estimates
M23,"between-arm heterogeneity, ML tau with profile 95% upper bound","voelkel2026 donation tau=0.000 [<=1.485]; voelkel2026 ATTITUDE composite tau=0.192 [<=1.287]; voelkel2024 PA_DG tau=2.834 [<=3.925] vs attitude tau=3.211 [<=4.416], ratio 0.883; vlasceanu WEPT tau=2.326; vlasceanu SHARE tau=2.439",arm-level ATEs and Welch SEs from each study,"random-effects ML on (ATE_a, SE_a), profile-likelihood interval"
M24,arm-level pass-through slopes,"voelkel2024 (25 arms): beh = 0.743*att - 0.480, r=+0.829. voelkel2026 (10 arms): beh = -0.502*att - 0.679, r=-0.421 (uninformative, tau=0)",arm-level ATE tables,OLS across arms
M25,target donation item (verbatim),"$10 bonus lottery for 100 of ~18,000; ""American Meteorological Society (AMS), a non-profit, non-partisan society of 12,000 scientists ... that supports climate change research. With your donation, you help AMS to advance science for the benefit of society.""; 11-option horizontal grid $0..$10","/workspace/benchmark/survey/survey.qsf QID1721185865, QID1721185866",regex over the QSF JSON
M26,target newsletter item (verbatim),"""you can subscribe to the newsletter by climate scientist Katharine Hayhoe ... Talking Climate ... Signing up takes less than a minute""; external link, self-reported yes/no afterwards","/workspace/benchmark/survey/survey.qsf QID1721186005, QID1721186006",regex over the QSF JSON
M27,complete behavioural inventory of the train split,voelkel2026 Donation_1..6; vlasceanu2024 WEPTcc + SHAREcc; voelkel2024 PA_DG; koetke2024 S5 Behavior Follow; spampatti2023 WEPT_90; bago2025 upvote/bookmark. Nothing else.,column-name regex over every csv/xlsx in /workspace/datasets,regex donat|petition|volunteer|sign.?up|subscri|newsletter|opt.?in|wept|dictator|cents|allocat|bookmark|upvote|click|follow|share|contact|email|charit|pledg|contribut|give|behav
