number,file,vars,n,contrast
S1 all ATEs,/workspace/datasets/gatewaybelief/downloads/Experiment 1 data Maertens et al 2020.csv,"Condition; Belief/HumanCausation/PSC/Worry/SupportForAction .T1,.T2; Duration_Consensus_T1T2","479 (control 120, consensus+balanced 239, inoculation 120)","ANCOVA post.T2 ~ arm + pre.T1, HC2; CORRECT arm = every respondent who saw the consensus page at T1->T2 (Consensus + Balanced, identical content at T2, verified via Duration_Consensus_T1T2>0)"
S1 arm content,/workspace/datasets/gatewaybelief/downloads/Experiment 1 analysis.R,variable documentation (no codebook exists),-,authors R script used only to map variable names/scales
S2 all ATEs,/workspace/datasets/gatewaybelief/downloads/Experiment 2 data van der Linden et al 2017.csv,FL_32_DO; Q8_1/Q36_1 psc; Q3_1/Q5_1/Q31_1/Q33_1 belief; Q6_1/Q7_1/Q34_1/Q35_1 hcaused; Q10_1/Q38_1 worry; Q11_1/Q39_1 action,"control 362-363, PieChartOnly 338-339, CounterOnly 392","ANCOVA post.T2 ~ arm + pre.T1, HC2; CORRECT arm = PieChartOnly (97% consensus pie chart)"
S2 recodes,/workspace/datasets/gatewaybelief/downloads/Experiment 2 analysis.R,belief/hcaused 1-5 recode rules,-,authors recodes reproduced verbatim in Python
S3 all ATEs,/workspace/datasets/geiger2026/downloads/data - van der Linden.csv,group; consensus_pre/post; belief_pre/post; cause_pre/post; worry_pre/post; policy_pre/post,"control 3151, treatment 3150","ANCOVA post ~ arm + pre, HC2"
S4 all ATEs,/workspace/datasets/geiger2026/downloads/analysis_dataset.RDS,condition; consensus_perception(.pre); agreement_perception(.pre); belief_climate_change; belief_human_causation; belief_crisis; climate_worry; climate_action_support; scientist_trust; country_id; pretest,"control 3512, classic 3488, updated 3527 (27 countries)","ANCOVA where a .pre exists, else post-difference, HC2; pretest verified to be a cons/agree ORDER flag, so all pre-measures precede the message"
S5 all ATEs,/workspace/datasets/vlasceanu2024/downloads/data_notimers.csv,condName; Belief.in.CC_1/2/4/5; CC_policy_1..10; PerceivedSciConsensu_1,"Control 5093, SciConsens 5296, PluralIgnorance 5172, 9 other message arms (63 countries)","post-difference (no pre-measures), HC2"
S5 stimuli + class assignment,/workspace/datasets/vlasceanu2024/downloads/materials/usa_1.qsf,"sciConsensus_1 (99% of expert climate scientists); plurIg_Estimate + plurIg_Text (""You estimated X% ... In truth 65%""); socialNorm_/negEmo_/collectiveA_ passages",-,verbatim stimuli read to apply the correction test and the elicited/personal-feedback flags
S6 all ATEs,/workspace/datasets/voelkel2026/downloads/CCC - Data - Recoded.csv,Condition; Belief/Concern/Policies/Intent/PoliciesSp/Candidate/Companies/IntentNp _Pre and _Post; Check_Consensus_1,"3 pooled controls 3183, Consensus Framing 1 1062, Consensus Framing 2 1065, 8 other message arms","ANCOVA post ~ arm + matching pre composite, HC2; Check_Consensus_1 post-only"
S6 stimuli,/workspace/datasets/voelkel2026/downloads/CCC - Questionnaire - Qualtrics.pdf,"Consensus1_P1 (97%), Consensus2_P1 (98%/97.1%), all 8 other treatment texts, Check_Consensus wording",-,full-text scan for numeric claims; only the two consensus arms contain a corrected quantity
S7 all ATEs,/workspace/datasets/gligoric2025/downloads/Main Study/Analyses (data and codes)/dataMainStudy.csv,Condition; Ideology; 35 occupations x 2 trust items (1-7),"conservatives only (Ideology>5): Control 1138, Norms 1116, 4 other message arms 1095-1116","post-difference, HC2; trust_all35 = mean of the 70 occupation-trust items"
S7 stimuli,/workspace/datasets/gligoric2025/downloads/Main Study/Materials/Qualtrics file.qsf,"Norms message (""majority of conservative respondents (over 70%) reported high levels of confidence in scientists""); Co-Benefit message (11% of GDP)",-,verbatim stimuli read to apply the correction test
target-arm reading,/workspace/benchmark/survey/questionnaire.txt + /workspace/benchmark/codebook.csv,"Funding / Consensus / High public trust arm texts; funding_perceptions, belief_post, trust_post, trust_* items",-,used ONLY to classify the three target arms (C2/C2/C2n); no outcome data exists or was sought
