study,arm,item,scale_range,class,elicited,personal_feedback,downstream,n_treat,n_ctrl,ate_raw,se_raw,ate_abs_pp,se_pp,e_arm_pp,e_out_pp,c3_mean,n_c3,noncorr_mean,n_noncorr_arms,primary_item,notes
gatewaybelief_Exp1_Maertens2020,CORRECT_consensus,PSC.T2,100,C1,1,0,0,239,120,9.297109604201573,1.0291025253236445,9.297109604201573,1.0291025253236445,,8.760107072080533,0.5370025321210405,2.0,,,True,ANCOVA on T1 pre-measure; T2 = post-message
gatewaybelief_Exp1_Maertens2020,CORRECT_consensus,Belief.T2,6,C2,1,0,0,239,120,0.12427709879458404,0.0606438525092991,2.0712849799097337,1.010730875154985,,1.5342824477886932,0.5370025321210405,2.0,,,True,ANCOVA on T1 pre-measure; T2 = post-message
gatewaybelief_Exp1_Maertens2020,CORRECT_consensus,HumanCausation.T2,6,C2,1,0,0,239,120,0.1898051553032879,0.053248956313712216,3.163419255054798,0.887482605228537,,2.626416722933757,0.5370025321210405,2.0,,,True,ANCOVA on T1 pre-measure; T2 = post-message
gatewaybelief_Exp1_Maertens2020,CORRECT_consensus,Worry.T2,6,C3,1,0,1,239,120,0.02226862187027088,0.047660976036747175,0.37114369783784795,0.794349600612453,,,0.5370025321210405,2.0,,,True,ANCOVA on T1 pre-measure; T2 = post-message
gatewaybelief_Exp1_Maertens2020,CORRECT_consensus,SupportForAction.T2,6,C3,1,0,1,239,120,0.042171681984253986,0.053808095165302536,0.7028613664042331,0.8968015860883756,,,0.5370025321210405,2.0,,,True,ANCOVA on T1 pre-measure; T2 = post-message
gatewaybelief_Exp2_vdL2017,CORRECT_piechart97,psc.T2,100,C1,1,0,0,338,362,18.82019875306266,1.0214469808847273,18.82019875306266,1.0214469808847273,,16.646415801084892,2.1737829519777687,2.0,,,True,ANCOVA on T1 pre; belief/hcaused = authors 1-5 recodes (Experiment 2 analysis.R)
gatewaybelief_Exp2_vdL2017,CORRECT_piechart97,belief.T2,4,C2,1,0,0,338,362,0.06853432049199375,0.03748978341754916,1.7133580122998437,0.937244585438729,,-0.46042493967792497,2.1737829519777687,2.0,,,True,ANCOVA on T1 pre; belief/hcaused = authors 1-5 recodes (Experiment 2 analysis.R)
gatewaybelief_Exp2_vdL2017,CORRECT_piechart97,hcaused.T2,4,C2,1,0,0,297,342,0.21259291465325114,0.042933379944649394,5.314822866331278,1.0733344986162348,,3.1410399143535095,2.1737829519777687,2.0,,,True,ANCOVA on T1 pre; belief/hcaused = authors 1-5 recodes (Experiment 2 analysis.R)
gatewaybelief_Exp2_vdL2017,CORRECT_piechart97,worry.T2,6,C3,1,0,1,337,362,0.11798831444096411,0.05046833776514004,1.9664719073494017,0.8411389627523339,,,2.1737829519777687,2.0,,,True,ANCOVA on T1 pre; belief/hcaused = authors 1-5 recodes (Experiment 2 analysis.R)
gatewaybelief_Exp2_vdL2017,CORRECT_piechart97,action.T2,6,C3,1,0,1,338,362,0.14286563979636818,0.042792821274712116,2.381093996606136,0.7132136879118686,,,2.1737829519777687,2.0,,,True,ANCOVA on T1 pre; belief/hcaused = authors 1-5 recodes (Experiment 2 analysis.R)
