study,sample,beh_outcome,arm,n_arm,n_ctrl,beh_ate_pp,beh_se_pp,matched_attitude_ate_pp,ratio_beh_over_att,note
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,Binding Framing,1029,3046,-1.411,1.636,0.74,-1.908,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,Consensus Framing 1,1020,3046,-1.086,1.636,1.017,-1.068,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,Consensus Framing 2,1016,3046,-3.947,1.647,1.447,-2.727,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,Dire But Solvable Framing,1029,3046,-0.622,1.63,2.16,-0.288,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,Free Market Framing,1017,3046,-1.498,1.65,1.823,-0.822,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,Gains Framing,990,3046,-2.048,1.672,2.634,-0.778,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,High Social Distance Framing,1016,3046,-1.448,1.652,1.139,-1.271,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,Purity Framing,1002,3046,0.534,1.649,1.443,0.37,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,System Preservation Framing,1014,3046,-1.937,1.642,2.729,-0.71,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
voelkel2026,"US n=13,173",donation_cents_0_100_to_5_climate_NGOs,Warmth Framing,994,3046,-0.368,1.653,0.11,-3.331,end-of-survey; real $1 of own pay; everyone paid; the 3 placebo controls are IDENTICAL to the target study (neckties/baseball/dances)
vlasceanu2024,"global n=59,440",WEPT_pages_0_8_effort_for_env_fund,BindingMoral,5088,5085,0.911,0.846,0.976,0.933,effortful real-consequence task near end of survey
