,v26,geiger,v24,vlasceanu,MEAN,MEAN_climate3
0.0,0.6388,12.4505,0.0,6.5182,4.9019,6.5358
0.1,0.5274,7.292,0.0,5.617,3.3591,4.4788
0.2,0.4322,3.4421,0.0,4.8303,2.1762,2.9015
0.3,0.3531,0.9008,0.0,4.1581,1.353,1.804
0.4,0.2902,0.0,0.2082,3.6004,1.0247,1.2969
0.5,0.2435,0.0,0.6337,3.1571,1.0086,1.1335
0.6,0.213,1.1285,1.1513,2.8283,1.3303,1.3899
0.7,0.1986,3.8217,1.7609,2.6141,2.0988,2.2114
0.8,0.2004,7.8234,2.4628,2.5142,3.2502,3.5127
0.9,0.2184,13.1337,3.2567,2.5289,4.7844,5.2937
1.0,0.2525,19.7526,4.1427,2.6581,6.7015,7.5544
1.1,0.3028,27.6801,5.1209,2.9017,9.0014,10.2949
1.2,0.3693,36.9162,6.1912,3.2599,11.6841,13.5151
1.3,0.452,47.4609,7.3535,3.7325,14.7497,17.2151
1.4,0.5508,59.3143,8.608,4.3196,18.1982,21.3949
1.5,0.6658,72.4762,9.9547,5.0212,22.0295,26.0544
