study,spec,row_type,cluster,n_arms,n_outcomes,n_per_arm,n_control,raw_sd_btw,raw_sd_wth,raw_mix,noise_var_btw,noise_var_wth,noise_frac_btw,noise_frac_wth,cor_sd_btw,cor_sd_wth,cor_mix,mix_lo10,mix_hi90,xfit_sd_btw,xfit_sd_wth,xfit_mix,share_wth,mix_reg,sd_b0,sd_w0,mix_k16,one_construct,n_constructs,n_scale_types,has_behavioural,assertion_match,arm_contrast_kind,modality_hetero,has_oppositional_arm,arm_family,domain,sample,notes
voelkel2026,voelkel2026_post8,study,voelkel,10,8,1029,3082,0.516789147651999,0.9689462481908393,1.8749353630841308,0.11087798453525839,0.6166840124639332,0.4151629152254455,0.6568456355875101,0.3952126498426148,0.5676026950422014,1.4361956664804059,0.0,3.042940566523933,0.3953721707454342,0.5641670172785715,1.4269264733906075,0.6734862323916277,1.3434927491594826,0.3469813520351748,0.598305774127773,1.5331745914298593,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,framing variants of one goal,climate attitudes,US quota,
voelkel2024,voelkel2024_post8,study,voelkel,25,8,1013,5434,1.4469845551634215,1.6747002737832304,1.1573725979363276,0.08818273043147834,0.5147270956872896,0.04211683727252361,0.1835282180375977,1.4161855713323754,1.5132395419504265,1.06853195836951,0.9614530460155695,1.2030206598335589,1.4153678922514978,1.5134992488520578,1.0693327559129926,0.5330943966443784,1.066917222750448,1.3820887548001066,1.5444436401589519,1.0420848070209228,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,25 distinct interventions (text/video/quiz/chatbot),democratic attitudes,US quota,
vlasceanu2024,vlasceanu2024_us,study,vlasceanu,11,4,709,665,4.165484674280497,2.2146333331996204,0.5316628211054824,1.7404155933254157,2.184674559660373,0.10030483869038344,0.4454337159161363,3.9510564382630986,1.649219888571105,0.417412384343492,0.2844695195843597,0.6638977341659981,3.981000903500851,1.6306248134157932,0.40960171900032444,0.14838033335166506,0.4205585621867261,3.9164849488098934,1.7297164117115662,0.42504299322551164,0.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,11 distinct psychological levers,climate belief/policy/behaviour,US (of 63 countries),
koetke2024_S3,koetke2024_S3,study,koetke,5,7,58,58,2.2095928564386735,7.990506744245069,3.6162801309576205,4.361827157948396,4.838494683250815,0.8933958646028695,0.07578122535252396,0.7214384473234163,7.681777355962298,10.647862453771618,2.523846550975976,10.9734907190474,0.3430411395179557,7.6764356046891375,22.37759475576641,0.9912569815607775,10.174847726832995,-3.772525997705961,8.58848817797515,inf,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,High vs Low IH persona vignettes x scientist gender,trust in a specific scientist,US online,
koetke2024_S4,koetke2024_S4,study,koetke,5,7,63,64,5.76599753553132,8.905052344436465,1.544407934544129,7.600410565400496,7.3445457990369,0.22860627552496413,0.0926172731117629,5.064219289718087,8.482653562306814,1.6750170316536632,1.2469141247849775,2.6272854112895505,5.058510330098723,8.484593425345269,1.677290916035291,0.7372350119640875,1.673967906714814,2.7672123427419972,9.48389499744939,2.5199388714399147,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,High vs Low IH persona vignettes x scientist race,trust in a specific scientist,US online,
koetke2024_S5,koetke2024_S5,study,koetke,3,7,174,164,4.005959912609462,1.7968889998369013,0.4485539144265718,3.1512961145162843,2.1376990339128294,0.19637039600848838,0.662070230966484,3.5911584073830163,1.0445626088569462,0.2908706579775048,0.0,0.6830905801015474,3.5972823721261245,1.0659106216935408,0.2963099671999196,0.07800598556470091,0.2968855977140374,3.5143794879049,1.2793226980449632,0.3510153020590026,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,3 humility-communication strategies (same goal),trust in a specific scientist,US CloudResearch,
gligoric2025,gligoric2025_all,study,gligoric,5,8,131,251,2.4765037816311275,1.8061256351037187,0.7293046142308451,3.014062033184289,4.025652318955419,0.49144417907443794,1.2340715779460352,1.7660716144168636,0.0,0.0,0.0,0.7778695522943329,1.8706100937249228,0.0,0.0,0.0,0.12560972635517548,1.7660716144168636,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5 trust-raising messages (same goal),trust in 35 scientist occupations,US quota,
spampatti2023,spampatti2023_all12,study,spampatti,6,5,849,853,0.5805333546671819,0.7421043189371977,1.2783146962548673,0.42789636470969217,0.45938126750935104,1.26965065866384,0.834148481351757,0.0,0.302221032815208,inf,0.0,1.8139583108284851,0.0,0.29538865822982824,inf,1.0,1.6812944577074596,-0.13515735472099996,0.33106655405079694,inf,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,6 inoculation strategies (same goal),climate disinformation resistance,12 countries,
schmid2023_E1,schmid2023_E1,study,schmid,3,6,131,129,5.522194106945135,7.837880221439894,1.4193416728293513,5.53269722147666,3.3129038198572376,0.1814318661623765,0.053927660870805444,4.996191602941477,7.6236121717845435,1.525884669294146,1.1765528239594438,2.3022769363187576,4.930394984748094,7.6224808499649725,1.5460182953991917,0.6995484836232596,1.5250143091601844,-2.02430253163597,9.336979908871614,7.77822752269933,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,denier tone x advocate tone (hostile/neutral),vaccination debate,EN online,
schmid2023_E2,schmid2023_E2,study,schmid,3,5,78,75,7.690060411491498,7.102377325707988,0.9235788726828055,8.241208781786835,5.124347215335539,0.13935784233153511,0.10158534656880357,7.134130665372056,6.731969731170471,0.9436285998862327,0.6838901183448323,1.442480058245629,7.193751065003594,6.750008639377967,0.9383155711650406,0.47102120166215106,0.9436855755436819,5.313766283899229,8.24494540261445,1.4006617669654788,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,denier tone x advocate hostile/absent,vaccination debate,EN online,
