moderator,level,outcome_class,message_family,row_type,interaction_pp_lo,interaction_pp_ctr,interaction_pp_hi,dispersion_rms_true_pp,dispersion_rms_true_UB95_pp,headroom_model_r2,n_studies,n_obs,n_cells,sources,notes
party,Republican-Democrat,all_outcomes,ALL,measured,-0.972,-0.355,0.262,0.799,1.382,1.0,1,13821,90,voelkel2026,grand mean over all condition x outcome cells; SE accounts for shared control group
party,Republican-Democrat,attitude_slider_0_100,ALL,measured,-0.695,-0.258,0.179,0.574,0.776,1.0,1,13821,80,voelkel2026,grand mean over all condition x outcome cells; SE accounts for shared control group
party,Republican-Democrat,all_outcomes,ALL,measured,1.154,2.391,3.628,3.529,3.716,0.97,1,6301,6,geiger2026_vdL2019,grand mean over all condition x outcome cells; SE accounts for shared control group
ideology,Conservative-Liberal,all_outcomes,ALL,measured,-3.373,-1.758,-0.143,2.553,3.075,-1.54,1,59440,44,vlasceanu2024_global,grand mean over all condition x outcome cells; SE accounts for shared control group
ideology,Conservative-Liberal,attitude_slider_0_100,ALL,measured,-1.266,0.212,1.69,0.0,0.886,,1,59440,22,vlasceanu2024_global,grand mean over all condition x outcome cells; SE accounts for shared control group
ideology,Conservative-Liberal,behavioral_binary_or_effortful,ALL,measured,-6.313,-3.728,-1.143,3.697,4.395,,1,59440,22,vlasceanu2024_global,grand mean over all condition x outcome cells; SE accounts for shared control group
ideology,Conservative-Liberal,all_outcomes,ALL,measured,-1.013,-0.319,0.375,0.564,1.396,1.0,1,13821,90,voelkel2026,grand mean over all condition x outcome cells; SE accounts for shared control group
ideology,Conservative-Liberal,all_outcomes,ALL,measured,-4.589,0.468,5.525,3.415,5.0,,1,8253,44,vlasceanu2024_US,grand mean over all condition x outcome cells; SE accounts for shared control group
party,Republican-Democrat,all_outcomes_NONCLIMATE,ALL,measured,-0.761,0.023,0.807,0.0,0.428,,1,34119,200,voelkel2024,grand mean over all condition x outcome cells; SE accounts for shared control group
education,high-minus-low contrast,all_outcomes,ALL,measured,-0.577,0.148,0.874,0.0,1.111,,1,13821,90,voelkel2026,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
age,high-minus-low contrast,all_outcomes,ALL,measured,-1.133,-0.419,0.295,1.045,1.68,,1,13821,90,voelkel2026,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
gender,high-minus-low contrast,all_outcomes,ALL,measured,-1.214,-0.627,-0.041,0.267,1.105,,1,13821,90,voelkel2026,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
race_BlackWhite,high-minus-low contrast,all_outcomes,ALL,measured,-0.345,0.552,1.449,0.0,1.604,,1,13821,90,voelkel2026,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
race_HispWhite,high-minus-low contrast,all_outcomes,ALL,measured,-1.152,-0.111,0.929,0.0,1.313,,1,13821,90,voelkel2026,"contrast levels: educ HS-vs-BA+, age 60+ vs <40, gender M-F, race B-W / H-W, income low-high"
