study,moderator,n_cells,mean,se_mean,mean_noise_sd,rms_true,rms_true_UB95
voelkel2026,party,90,-0.3553,0.3146,1.4378,0.7993,1.3824
voelkel2026,ideology,90,-0.319,0.3541,1.6138,0.5643,1.3965
voelkel2026,education,90,0.1482,0.3702,1.6787,0.0,1.1106
voelkel2026,age,90,-0.4191,0.3643,1.6748,1.0454,1.6798
voelkel2026,gender,90,-0.6275,0.2994,1.3646,0.2666,1.105
voelkel2026,race_BlackWhite,90,0.5521,0.4578,2.1252,0.0,1.604
voelkel2026,race_HispWhite,90,-0.1112,0.5309,2.3884,0.0,1.3126
voelkel2026,income,90,-0.2698,0.3672,1.7082,0.0,1.0914
voelkel2024,party,200,0.0234,0.3996,1.7254,0.0,0.4282
voelkel2024,ideology,200,0.5956,0.4255,1.8475,0.8767,1.2788
voelkel2024,education,200,0.0817,0.5159,2.221,0.0,0.902
voelkel2024,age,200,0.538,0.451,1.9785,1.1119,1.4935
voelkel2024,gender,200,0.0956,0.3734,1.6061,0.3971,0.9008
voelkel2024,race_BlackWhite,200,0.1811,0.5615,2.7508,0.0,1.3316
voelkel2024,race_HispWhite,200,-0.046,0.9496,4.2013,1.3317,2.5715
geiger2026/vdL2019,party,6,2.3914,0.6314,1.0846,3.5285,3.7164
vlasceanu2024_global,ideology,44,-1.7582,0.8242,1.9128,2.5531,3.0745
vlasceanu2024_global,ideology(attitudes only),22,0.2115,0.7544,1.1146,0.0,0.8861
voelkel2026,party(attitudes only),80,-0.2577,0.2226,0.8939,0.5742,0.7759
