row_type,shape_class,source,item,k,rbar,n,mean,sd,skew,kurt,p_floor,p_ceil,p_mid,p_mult5,p_mult10,p_int,q0,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100,beta_a,beta_b,item_sd_mean,sd_pred_classical,pceil_item_min,pceil_ratio_to_min,pmf_0,pmf_1,pmf_2,pmf_3,pmf_4,pmf_5,pmf_6,pmf_7,pmf_8,pmf_9,pmf_10,value,note
item,slider_single,voelkel2026,Belief_Pre_1_1,1.00000,,13819.00000,70.96461,26.16688,-0.82538,0.04841,0.00767,0.18576,0.05008,0.43462,0.33606,1.00000,0.00000,35.00000,50.00000,57.00000,67.00000,75.00000,83.00000,91.00000,99.00000,100.00000,100.00000,1.83925,0.94993,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Belief_Pre_2_1,1.00000,,13818.00000,70.97424,26.50011,-0.83074,0.02609,0.00796,0.19171,0.05999,0.44348,0.34983,1.00000,0.00000,35.00000,50.00000,56.00000,67.00000,76.00000,84.00000,91.00000,99.00000,100.00000,100.00000,1.74864,0.90399,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Belief_Pre_3_1,1.00000,,13819.00000,53.60728,28.34963,-0.16916,-0.81040,0.04559,0.02779,0.10066,0.38389,0.27650,1.00000,0.00000,10.00000,27.00000,44.00000,49.00000,50.00000,60.00000,72.00000,83.00000,94.00000,100.00000,1.30388,1.04779,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Concern_Pre_1_1,1.00000,,13811.00000,60.51546,32.87276,-0.50559,-1.02148,0.03106,0.13598,0.03309,0.40982,0.29925,1.00000,0.00000,5.00000,25.00000,48.00000,55.00000,68.00000,76.00000,85.00000,94.00000,100.00000,100.00000,0.93904,0.72039,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Concern_Pre_2_1,1.00000,,13812.00000,65.09209,32.24768,-0.68766,-0.78296,0.02389,0.17231,0.02744,0.42347,0.31798,1.00000,0.00000,9.00000,32.00000,51.00000,64.00000,74.00000,82.00000,90.00000,98.00000,100.00000,100.00000,0.99356,0.66567,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Concern_Pre_3_1,1.00000,,13815.00000,56.10250,31.22462,-0.38915,-1.02215,0.03055,0.07550,0.03945,0.39551,0.27043,1.00000,0.00000,5.00000,23.00000,40.00000,51.00000,61.00000,70.00000,77.00000,85.00000,96.00000,100.00000,1.03775,0.86598,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Policies_Pre_1,1.00000,,13816.00000,65.56246,31.39989,-0.67226,-0.69447,0.02251,0.19231,0.03988,0.43717,0.34243,1.00000,0.00000,11.00000,38.00000,50.00000,61.00000,73.00000,81.00000,90.00000,99.00000,100.00000,100.00000,1.11755,0.76103,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Policies_Pre_2,1.00000,,13816.00000,72.42834,27.33213,-0.99897,0.21098,0.01158,0.21511,0.03568,0.44803,0.35314,1.00000,0.00000,30.00000,50.00000,62.00000,72.00000,79.00000,86.00000,94.00000,100.00000,100.00000,100.00000,1.61129,0.80771,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Policies_Pre_3,1.00000,,13816.00000,65.48422,32.74520,-0.67377,-0.81199,0.02714,0.20780,0.03554,0.44637,0.35582,1.00000,0.00000,8.00000,33.00000,50.00000,62.00000,75.00000,83.00000,92.00000,100.00000,100.00000,100.00000,0.96883,0.67763,,,,,,,,,,,,,,,,,
item,slider_single,voelkel2026,Intent_Pre_1,1.00000,,13812.00000,49.39176,36.05606,-0.03022,-1.45864,0.07037,0.11512,0.04228,0.40298,0.30966,1.00000,0.00000,1.00000,5.00000,18.00000,40.00000,51.00000,64.00000,77.00000,89.00000,100.00000,100.00000,0.61324,0.71081,,,,,,,,,,,,,,,,,
