dataset,study,arm,outcome,outcome_family,ate_pp,se_pp,n_arm,n_control,control_mean_pp,sd_pooled_pp,scale_lo,scale_hi,note
koetke2024,S2,High IH,METI_trust,trust_scientists,4.2034213773344336,1.6159127557930637,115,99,86.23136123136123,11.630426258482954,1.0,7.0,
koetke2024,S2,High IH,support_research,belief,-0.4781144781144923,1.0537524019357152,115,99,61.14478114478114,7.819783652323262,1.0,7.0,
koetke2024,S2,Low IH,METI_trust,trust_scientists,-9.266497616012186,2.205680089287805,103,99,86.23136123136123,15.779927094941833,1.0,7.0,
koetke2024,S2,Low IH,support_research,belief,-1.738092903141449,1.0576360289805893,103,99,61.14478114478114,7.54187493425146,1.0,7.0,
koetke2024,S3,High IH,METI_trust,trust_scientists,7.999012022984623,1.6091449784215532,146,110,83.07178932178932,12.46433536444838,1.0,7.0,
koetke2024,S3,High IH,support_research,belief,-0.1283727687837466,1.333730918354821,146,110,51.05303030303031,10.300812575822068,1.0,7.0,
koetke2024,S3,High IH,behavioral_intention,behavior,8.771274387712738,3.718806128344891,146,110,58.409090909090914,29.128847408692877,1.0,7.0,
koetke2024,S3,Low IH,METI_trust,trust_scientists,-10.934118732791305,2.190136436600453,113,110,83.07178932178932,16.421072015510056,1.0,7.0,
koetke2024,S3,Low IH,support_research,belief,-0.8170421024403277,1.3616643449511143,113,110,51.05303030303031,10.132402234078404,1.0,7.0,
koetke2024,S3,Low IH,behavioral_intention,behavior,-3.615580584607144,4.221165512048246,113,110,58.409090909090914,31.54418605514061,1.0,7.0,
koetke2024,S4,High IH (vs Low IH),METI_trust,trust_scientists,16.439415861381157,1.8366713485386976,198,173,71.58737216540685,17.15991583403894,1.0,7.0,
koetke2024,S4,High IH (vs Low IH),support_research,belief,1.9876024211284389,1.0339411523300726,198,173,51.75818882466282,10.0299168799516,1.0,7.0,
koetke2024,S4,High IH (vs Low IH),info_seeking_switch,behavior,15.04933730367256,4.610427812691748,198,173,20.809248554913296,44.79676314303408,0.0,1.0,
koetke2024,S5,Limits of Methods,METI_trust,trust_scientists,1.5554608227022222,1.4737591094261784,174,164,84.22619047619047,13.522322055703617,1.0,7.0,
koetke2024,S5,Limits of Methods,belief_in_research,belief,-6.240655078964593,1.855120761236459,174,164,73.17073170731707,17.102279167170256,1.0,7.0,
koetke2024,S5,Limits of Methods,behavior_follow,behavior,-9.384615384615383,5.580227238971964,156,150,44.0,48.75681204352652,0.0,1.0,
koetke2024,S5,Limits of Results,METI_trust,trust_scientists,3.786218463184765,1.3501978844907907,178,164,84.22619047619047,12.349378924730024,1.0,7.0,
koetke2024,S5,Limits of Results,belief_in_research,belief,-8.306499497579253,1.838219600368402,178,164,73.17073170731707,17.057430827734073,1.0,7.0,
koetke2024,S5,Limits of Results,behavior_follow,behavior,-4.843373493975905,5.56559335794867,166,150,44.0,49.361590824857416,0.0,1.0,
koetke2024,S5,Personal Humility,METI_trust,trust_scientists,1.9519633400001624,1.4722910095210606,163,164,84.22619047619047,13.315120534967052,1.0,7.0,
koetke2024,S5,Personal Humility,belief_in_research,belief,-1.161529253329352,1.780125388913155,163,164,73.17073170731707,16.09501808971486,1.0,7.0,
koetke2024,S5,Personal Humility,behavior_follow,behavior,-10.206896551724135,5.663388721283081,145,150,44.0,48.66875546007157,0.0,1.0,
