arm,outcome,ate_pp,se_pp,n_arm,n_control,control_mean_pp,outcome_sd_pp,p,p_bh
BindingMoral,Belief,5.799961255204693,1.6238393646713702,709,668,66.45920658682634,29.677161058912233,0.0003545929832189761,0.0026003485436058246
CollectAction,Belief,6.679993974183475,1.6284812292594169,713,668,66.45920658682634,29.677161058912233,4.096334486559728e-05,0.0006007957246954268
DynamicNorm,Belief,2.2317418855858904,1.6807224509557401,731,668,66.45920658682634,29.677161058912233,0.1842287310321421,0.2251684490392848
FutureSelfCont,Belief,3.9649332890901974,1.759384086050407,591,668,66.45920658682634,29.677161058912233,0.024221868989809027,0.04099085521352297
LetterFutureGen,Belief,4.716405465904359,1.76361119423857,531,668,66.45920658682634,29.677161058912233,0.007488795477472375,0.018305944500488027
NegativeEmotions,Belief,3.358588072473836,1.6624550189444076,724,668,66.45920658682634,29.677161058912233,0.04335663160453052,0.06578247553790838
PluralIgnorance,Belief,3.3878427446628336,1.6349062611837504,723,668,66.45920658682634,29.677161058912233,0.03824736416386765,0.060197751268077034
PsychDistance,Belief,7.3778761417658245,1.6613702485637818,689,668,66.45920658682634,29.677161058912233,8.9609234189191e-06,0.000236699497261594
SciConsens,Belief,4.35669299476362,1.647460615281433,717,668,66.45920658682634,29.677161058912233,0.00818141428550808,0.018946433082229236
SystemJust,Belief,5.6212372411903,1.6466493177516066,721,668,66.45920658682634,29.677161058912233,0.000640770369096783,0.004027699462894064
WorkTogetherNorm,Belief,2.4649824117632164,1.655087015675205,709,668,66.45920658682634,29.677161058912233,0.13639863629679258,0.17651588226643747
BindingMoral,Policy,3.544778455274596,1.315131033971558,704,662,62.51634956600967,24.126171374002276,0.007030830630848493,0.018305944500488027
CollectAction,Policy,5.187494469243702,1.3063312442676633,706,662,62.51634956600967,24.126171374002276,7.15593677234631e-05,0.0007871530449580941
DynamicNorm,Policy,2.641879628062057,1.318460673274221,724,662,62.51634956600967,24.126171374002276,0.04509570489692254,0.06614036718215305
FutureSelfCont,Policy,4.2066778584304245,1.3951877371496892,584,662,62.51634956600967,24.126171374002276,0.002568658195969362,0.009418413385220994
LetterFutureGen,Policy,6.224206889716911,1.4141658759546627,529,662,62.51634956600967,24.126171374002276,1.0759068057345182e-05,0.000236699497261594
NegativeEmotions,Policy,1.26735232722433,1.334962949914039,716,662,62.51634956600967,24.126171374002276,0.34244063158261073,0.3674972631618261
PluralIgnorance,Policy,1.3279124047065807,1.2957582294253556,722,662,62.51634956600967,24.126171374002276,0.30545051108503785,0.33599556219354165
PsychDistance,Policy,3.808277429737373,1.3521275961119872,683,662,62.51634956600967,24.126171374002276,0.004854891899775054,0.014241016239340158
SciConsens,Policy,2.99820625631925,1.2934447224718204,714,662,62.51634956600967,24.126171374002276,0.020449262669203522,0.03705000663582901
SystemJust,Policy,3.1233652539996797,1.3241649838460956,713,662,62.51634956600967,24.126171374002276,0.018336936281768242,0.035079356365121855
WorkTogetherNorm,Policy,1.8157121093996267,1.3142073320573575,699,662,62.51634956600967,24.126171374002276,0.1670937920479989,0.21006076714605576
BindingMoral,Sharing,5.541489967719471,3.03742139761797,549,518,53.47490347490348,48.89554069328863,0.06809070836039235,0.09362472399553949
CollectAction,Sharing,8.855193612475166,3.062722095261985,515,518,53.47490347490348,48.89554069328863,0.003836735357052062,0.012058311122163623
DynamicNorm,Sharing,6.3364172798134994,3.058784443092687,530,518,53.47490347490348,48.89554069328863,0.038307659897867205,0.060197751268077034
FutureSelfCont,Sharing,6.206189919173966,3.2102984185989376,439,518,53.47490347490348,48.89554069328863,0.05320999147710384,0.07552385887072803
LetterFutureGen,Sharing,10.318199973372389,3.2427336130123154,406,518,53.47490347490348,48.89554069328863,0.0014628960140762113,0.00643674246193533
NegativeEmotions,Sharing,9.480950651775988,3.04911954255208,521,518,53.47490347490348,48.89554069328863,0.00187463913722458,0.00749855654889832
PluralIgnorance,Sharing,5.348625936861229,3.0451448123405127,544,518,53.47490347490348,48.89554069328863,0.07901264775154525,0.10535019700206033
PsychDistance,Sharing,10.284786447577144,3.0494218808501192,516,518,53.47490347490348,48.89554069328863,0.0007443489301645757,0.004093919115905166
SciConsens,Sharing,7.174916019681355,3.0212468891924784,554,518,53.47490347490348,48.89554069328863,0.01755753379889366,0.035079356365121855
SystemJust,Sharing,8.120643834929542,3.034658915071005,539,518,53.47490347490348,48.89554069328863,0.007451422175734357,0.018305944500488027
WorkTogetherNorm,Sharing,7.003037701567106,3.0354734770902314,544,518,53.47490347490348,48.89554069328863,0.021051140133993756,0.03705000663582901
BindingMoral,WEPT,0.8755747289549864,2.3337505502303126,711,669,63.153961136023916,43.984433950297955,0.7075271777078944,0.7239812981197059
CollectAction,WEPT,-6.991496150029519,2.3662057527792753,714,669,63.153961136023916,43.984433950297955,0.0031294406799605413,0.010591953070635679
DynamicNorm,WEPT,1.883504804030578,2.3140973248244006,734,669,63.153961136023916,43.984433950297955,0.415687140718345,0.4354817664668376
FutureSelfCont,WEPT,-2.7055685810323804,2.472292561205226,591,669,63.153961136023916,43.984433950297955,0.2737988056549925,0.31703019602157023
LetterFutureGen,WEPT,-6.506021061117551,2.547051978552901,534,669,63.153961136023916,43.984433950297955,0.0106391195469519,0.02340606300329418
NegativeEmotions,WEPT,-8.556853698007384,2.3750961977141345,726,669,63.153961136023916,43.984433950297955,0.0003148806382768804,0.0026003485436058246
PluralIgnorance,WEPT,-2.447064584299774,2.3468680216440845,725,669,63.153961136023916,43.984433950297955,0.29709016016287826,0.3351786422350421
PsychDistance,WEPT,-7.5523761216146905,2.3682046518900015,694,669,63.153961136023916,43.984433950297955,0.0014273011954793308,0.00643674246193533
SciConsens,WEPT,-0.13457055430646792,2.3368449847466897,722,669,63.153961136023916,43.984433950297955,0.9540780610128053,0.9540780610128053
SystemJust,WEPT,-2.6739887603333123,2.353072263232762,724,669,63.153961136023916,43.984433950297955,0.2557967620711894,0.3041907440846577
WorkTogetherNorm,WEPT,-5.890209372977373,2.3661685264297505,709,669,63.153961136023916,43.984433950297955,0.012797877272287853,0.026814599999079307
