arm,outcome,ate_pp,se_pp,n_arm,n_control,control_mean_pp,outcome_sd_pp,p,p_bh
BindingMoral,Belief,1.1414332126177982,0.47728359667622117,5081,5079,77.73059001115705,24.053930655088564,0.016778774993721712,0.026366646418705546
CollectAction,Belief,2.1524551843881454,0.47581321631284124,5148,5079,77.73059001115705,24.053930655088564,6.075641038327419e-06,1.5725188569788615e-05
DynamicNorm,Belief,0.7109894123921379,0.48378195074347013,5158,5079,77.73059001115705,24.053930655088564,0.14165698075175243,0.1833207986199149
FutureSelfCont,Belief,1.926682498993415,0.5109536021046774,4187,5079,77.73059001115705,24.053930655088564,0.00016275229460015645,0.00035805504812034416
LetterFutureGen,Belief,2.150596668796439,0.5086531212338214,4014,5079,77.73059001115705,24.053930655088564,2.3575457608699313e-05,5.7628896376820546e-05
NegativeEmotions,Belief,0.6358600793523976,0.4899135262537686,5156,5079,77.73059001115705,24.053930655088564,0.19432077857290475,0.23750317381132804
PluralIgnorance,Belief,0.7100843999433124,0.47184024107117667,5165,5079,77.73059001115705,24.053930655088564,0.1323432373687422,0.1779380769708357
PsychDistance,Belief,3.0722619820575403,0.48681166572642387,4716,5079,77.73059001115705,24.053930655088564,2.772618975825988e-10,1.3555026104038163e-09
SciConsens,Belief,1.2237630340792407,0.477133451264955,5276,5079,77.73059001115705,24.053930655088564,0.010322833446444095,0.018168186865741606
SystemJust,Belief,1.7294861571879068,0.47630870896772703,5164,5079,77.73059001115705,24.053930655088564,0.00028230397333489274,0.0005914940393683466
WorkTogetherNorm,Belief,-0.6425632098363963,0.4881571339131353,5149,5079,77.73059001115705,24.053930655088564,0.18807201383880057,0.23643338882592074
BindingMoral,Policy,0.8113958770576204,0.3895048172582471,5041,5045,68.8946897761417,19.672158172833246,0.03723780638501418,0.05285366067550399
CollectAction,Policy,2.880039859302215,0.3904369190241644,5096,5045,68.8946897761417,19.672158172833246,1.6256137137153165e-13,1.4648035775051724e-12
DynamicNorm,Policy,1.201757628992226,0.38966592703149255,5120,5045,68.8946897761417,19.672158172833246,0.0020418842998573303,0.003906213443205328
FutureSelfCont,Policy,2.1771552948188884,0.4160954576643243,4155,5045,68.8946897761417,19.672158172833246,1.6737231758697942e-07,5.664909210636226e-07
LetterFutureGen,Policy,3.027470843946574,0.4134937459495289,3981,5045,68.8946897761417,19.672158172833246,2.4487693213190237e-13,1.7957641689672841e-12
NegativeEmotions,Policy,-0.3089756452558987,0.4013597626921819,5126,5045,68.8946897761417,19.672158172833246,0.4414053841525666,0.48554592256782325
PluralIgnorance,Policy,0.2755092150193832,0.3811750032316921,5145,5045,68.8946897761417,19.672158172833246,0.4698093400644977,0.4921812134009024
PsychDistance,Policy,1.0878649767885662,0.4013299869696987,4687,5045,68.8946897761417,19.672158172833246,0.0067151544349741054,0.012311116464119193
SciConsens,Policy,0.8239674557909638,0.38411450185133655,5239,5045,68.8946897761417,19.672158172833246,0.031944137010116974,0.04685140094817156
SystemJust,Policy,0.9499974348045157,0.3895244903291256,5131,5045,68.8946897761417,19.672158172833246,0.014733493340674185,0.024010137295913486
WorkTogetherNorm,Policy,-0.05054809247822334,0.3929453665144253,5113,5045,68.8946897761417,19.672158172833246,0.8976433182768409,0.8976433182768407
BindingMoral,Sharing,4.273493931690981,1.132908858339755,3873,3905,48.47631241997439,49.81478460430894,0.0001618516117405295,0.00035805504812034416
CollectAction,Sharing,9.00823474476627,1.1387530297919632,3721,3905,48.47631241997439,49.81478460430894,2.561241688301795e-15,3.756487809509299e-14
DynamicNorm,Sharing,6.539443882546619,1.1357160404808073,3808,3905,48.47631241997439,49.81478460430894,8.512038506672573e-09,3.121080785779943e-08
FutureSelfCont,Sharing,7.7938879678730535,1.198056690834156,3094,3905,48.47631241997439,49.81478460430894,7.746541783608214e-11,4.260597980984518e-10
LetterFutureGen,Sharing,10.081020006020841,1.2106893694740248,2939,3905,48.47631241997439,49.81478460430894,8.314279905070809e-17,1.829141579115578e-15
NegativeEmotions,Sharing,10.605905553256962,1.1403056337416622,3661,3905,48.47631241997439,49.81478460430894,1.3921945806805746e-20,6.125656154994528e-19
PluralIgnorance,Sharing,1.3425281597357508,1.1344298541738331,3864,3905,48.47631241997439,49.81478460430894,0.23663533860587205,0.28140418645022625
PsychDistance,Sharing,7.740540850502925,1.168415325679075,3394,3905,48.47631241997439,49.81478460430894,3.476723118121077e-11,2.185368817104677e-10
SciConsens,Sharing,3.8806323745806894,1.1263798268885503,3967,3905,48.47631241997439,49.81478460430894,0.0005705834094647638,0.0011411668189295276
SystemJust,Sharing,5.4624470670708805,1.1358535226553501,3821,3905,48.47631241997439,49.81478460430894,1.51602077065415e-06,4.764636707770185e-06
WorkTogetherNorm,Sharing,5.37567040397105,1.1259029737453576,3959,3905,48.47631241997439,49.81478460430894,1.8011719429789207e-06,5.283437699404834e-06
BindingMoral,WEPT,0.9114684792490002,0.8462914532482376,5088,5085,62.48279252704031,43.16300073934964,0.28147362270510257,0.32591682629011876
CollectAction,WEPT,-2.1222575396396492,0.8499104926822156,5159,5085,62.48279252704031,43.16300073934964,0.012523605801599426,0.02119379443347595
DynamicNorm,WEPT,0.38250648592659253,0.8436869649790848,5167,5085,62.48279252704031,43.16300073934964,0.6502788135958393,0.6654015767027193
FutureSelfCont,WEPT,-1.9558492747751677,0.8981955773096021,4194,5085,62.48279252704031,43.16300073934964,0.029440924879577748,0.04466898947246279
LetterFutureGen,WEPT,-4.293458862196953,0.9106270233171119,4022,5085,62.48279252704031,43.16300073934964,2.41903175210824e-06,6.65233731829766e-06
NegativeEmotions,WEPT,-6.295752620027528,0.8538581585735555,5162,5085,62.48279252704031,43.16300073934964,1.6645495198922414e-13,1.4648035775051724e-12
PluralIgnorance,WEPT,-1.2738950415470796,0.8489117828275395,5170,5085,62.48279252704031,43.16300073934964,0.13345355772812678,0.1779380769708357
PsychDistance,WEPT,-5.469050455158708,0.8733272806877487,4730,5085,62.48279252704031,43.16300073934964,3.7930395404237395e-10,1.6689373977864453e-09
SciConsens,WEPT,0.6249448925586321,0.8384961599855972,5286,5085,62.48279252704031,43.16300073934964,0.45608050285656887,0.48945224696802514
SystemJust,WEPT,-0.8067824748462238,0.8459696492243598,5173,5085,62.48279252704031,43.16300073934964,0.3402467603152979,0.3838681398429002
WorkTogetherNorm,WEPT,-5.132133101128755,0.8537573078477155,5156,5085,62.48279252704031,43.16300073934964,1.8411888797083325e-09,7.36475551883333e-09
