arm,outcome,ate_pp,se_pp,n_arm,n_control,control_mean_pp,outcome_sd_pp,p,p_bh
Binding Framing,Belief_Post,0.17155222676612425,0.7878636293402779,1050,3109,65.43765412244022,22.5623836098492,0.8276289265332194,0.8661232952091831
Consensus Framing 1,Belief_Post,1.3469612621751565,0.8215565009641124,1040,3109,65.43765412244022,22.5623836098492,0.10110426228614357,0.2394574633092874
Consensus Framing 2,Belief_Post,3.0644473971200625,0.8181871626113368,1031,3109,65.43765412244022,22.5623836098492,0.00018009851349474646,0.005402955404842394
Dire But Solvable Framing,Belief_Post,1.3488983672521186,0.7986651049704776,1051,3109,65.43765412244022,22.5623836098492,0.09123070682240757,0.22191253010855894
Free Market Framing,Belief_Post,2.6326734305462907,0.8022092619247071,1038,3109,65.43765412244022,22.5623836098492,0.0010315445441386214,0.011604876121559492
Gains Framing,Belief_Post,2.3122642582323323,0.8137233787309947,1021,3109,65.43765412244022,22.5623836098492,0.004488986442808793,0.0367280708957083
High Social Distance Framing,Belief_Post,0.9532725184864148,0.803502514204885,1036,3109,65.43765412244022,22.5623836098492,0.23546577886383868,0.3834502119937295
Purity Framing,Belief_Post,0.8580657219177539,0.8231888211154241,1028,3109,65.43765412244022,22.5623836098492,0.2972410759190346,0.43855240709365756
System Preservation Framing,Belief_Post,1.6316432789072337,0.7977201841703777,1039,3109,65.43765412244022,22.5623836098492,0.04081711664641917,0.12667381028199054
Warmth Framing,Belief_Post,-0.10003883917276823,0.8262980926773186,1012,3109,65.43765412244022,22.5623836098492,0.903636617413542,0.9241738132638496
Binding Framing,Concern_Post,0.5498180563244901,1.1054772351283135,1052,3118,60.42388283087449,31.177464102402606,0.6189365478389687,0.6877072753766319
Consensus Framing 1,Concern_Post,0.780531756457556,1.1256100142041268,1042,3118,60.42388283087449,31.177464102402606,0.48803973847713833,0.585647686172566
Consensus Framing 2,Concern_Post,1.0912980476784782,1.1270135996384836,1032,3118,60.42388283087449,31.177464102402606,0.3328897895427647,0.4832271138524004
Dire But Solvable Framing,Concern_Post,2.7031767382002907,1.0969565555273018,1052,3118,60.42388283087449,31.177464102402606,0.013729976798774204,0.07622899243808057
Free Market Framing,Concern_Post,1.5098347483762282,1.1233297237802449,1041,3118,60.42388283087449,31.177464102402606,0.17892547388880364,0.35007157934765926
Gains Framing,Concern_Post,3.861131860604459,1.1186490062555876,1021,3118,60.42388283087449,31.177464102402606,0.0005572677610712145,0.007164871213772758
High Social Distance Framing,Concern_Post,1.7936203866287244,1.1295374441873753,1036,3118,60.42388283087449,31.177464102402606,0.11230337154023919,0.256391046249031
Purity Framing,Concern_Post,1.9553489399588386,1.1384479594350876,1024,3118,60.42388283087449,31.177464102402606,0.0858775008315335,0.22082785928108614
System Preservation Framing,Concern_Post,3.3196330192696024,1.1050669383867537,1041,3118,60.42388283087449,31.177464102402606,0.0026644586533143555,0.0239801278798292
Warmth Framing,Concern_Post,-0.5961379262065094,1.110479057287684,1014,3118,60.42388283087449,31.177464102402606,0.5913853868172422,0.6737301875133139
Binding Framing,Policies_Post,-0.041228760990563273,1.030552398112266,1053,3116,68.01337184424476,29.05056365178293,0.9680879701276291,0.9680879701276291
Consensus Framing 1,Policies_Post,-0.0894344840657908,1.0560491235076679,1043,3116,68.01337184424476,29.05056365178293,0.9325095899630359,0.9429872258053171
Consensus Framing 2,Policies_Post,0.6526482010187493,1.066205618789675,1031,3116,68.01337184424476,29.05056365178293,0.5404568659066646,0.6236040760461515
Dire But Solvable Framing,Policies_Post,1.7694708274867992,1.0430491539120192,1053,3116,68.01337184424476,29.05056365178293,0.08980248942741335,0.22191253010855894
Free Market Framing,Policies_Post,1.7949614890885641,1.0276025096547088,1040,3116,68.01337184424476,29.05056365178293,0.08068125262153247,0.22003977987690673
Gains Framing,Policies_Post,2.5165760724218984,1.0381342093546957,1024,3116,68.01337184424476,29.05056365178293,0.015344956931644584,0.07622899243808057
High Social Distance Framing,Policies_Post,1.167451836578934,1.0331430234090702,1036,3116,68.01337184424476,29.05056365178293,0.2584761347005854,0.4080853170528551
Purity Framing,Policies_Post,1.2610422182552412,1.042293301025463,1024,3116,68.01337184424476,29.05056365178293,0.226327741317625,0.3834502119937295
System Preservation Framing,Policies_Post,2.3122691813962746,1.0207882498136447,1040,3116,68.01337184424476,29.05056365178293,0.023501632711040884,0.09368927599099498
Warmth Framing,Policies_Post,-0.7741911372741725,1.06321904755027,1009,3116,68.01337184424476,29.05056365178293,0.4665170557191416,0.5751580139003115
Binding Framing,Intent_Post,2.4780940878766984,1.031478396139299,1050,3105,33.827858293075685,29.260866235227482,0.016284848562497338,0.07622899243808057
Consensus Framing 1,Intent_Post,2.3367290389780564,1.0584391953008738,1042,3105,33.827858293075685,29.260866235227482,0.027264347471327915,0.09368927599099498
Consensus Framing 2,Intent_Post,2.063509311192014,1.0537174308894137,1031,3105,33.827858293075685,29.260866235227482,0.05019321083177584,0.15057963249532752
Dire But Solvable Framing,Intent_Post,3.261051840767528,1.0521453039584643,1046,3105,33.827858293075685,29.260866235227482,0.0019389269167049495,0.019389269167049493
Free Market Framing,Intent_Post,2.447333645503967,1.0401603669725747,1042,3105,33.827858293075685,29.260866235227482,0.018630517318879943,0.07984507422377118
Gains Framing,Intent_Post,3.7197373889655343,1.068202070301402,1019,3105,33.827858293075685,29.260866235227482,0.0004972353700418768,0.007164871213772758
High Social Distance Framing,Intent_Post,1.9613998957489756,1.0435752996325216,1038,3105,33.827858293075685,29.260866235227482,0.060176237825156506,0.16924566888325268
Purity Framing,Intent_Post,2.6655819401604646,1.0490489917149763,1029,3105,33.827858293075685,29.260866235227482,0.01105514552268034,0.07574862303031135
