arm,outcome,ate_pp,se_pp,n_arm,n_control,control_mean_pp,outcome_sd_pp,p,p_bh
Binding Framing,Belief_Post,0.19366680418255217,0.36612653856353283,1050,3107,65.436433859028,22.5623836098492,0.5968322313105597,0.6200854351278543
Consensus Framing 1,Belief_Post,1.5155233997658433,0.3675726786261798,1039,3107,65.436433859028,22.5623836098492,3.7387583342820554e-05,0.00015742140354871813
Consensus Framing 2,Belief_Post,3.117041441978445,0.3687737423318296,1030,3107,65.436433859028,22.5623836098492,2.8525389774638034e-17,2.2820311819710426e-15
Dire But Solvable Framing,Belief_Post,0.6203869458596363,0.36601045083303385,1051,3107,65.436433859028,22.5623836098492,0.09007581899013656,0.12010109198684875
Free Market Framing,Belief_Post,1.8362386033544313,0.3677217119475331,1038,3107,65.436433859028,22.5623836098492,5.927788590924501e-07,4.742230872739601e-06
Gains Framing,Belief_Post,1.3378175563140013,0.37001739160384334,1021,3107,65.436433859028,22.5623836098492,0.00029970694020638677,0.0008563055434468194
High Social Distance Framing,Belief_Post,0.5658496717075915,0.3679748421794406,1036,3107,65.436433859028,22.5623836098492,0.12411217399689743,0.15906618091336439
Purity Framing,Belief_Post,1.0296733406895393,0.36904381578127804,1028,3107,65.436433859028,22.5623836098492,0.0052689916299222695,0.00977737617863237
System Preservation Framing,Belief_Post,1.691572039069883,0.3675723339921374,1039,3107,65.436433859028,22.5623836098492,4.184304721886616e-06,2.2387071358875857e-05
Warmth Framing,Belief_Post,-0.3442368473904925,0.37136925904106166,1011,3107,65.436433859028,22.5623836098492,0.3539579301687886,0.3878991015548368
Binding Framing,Concern_Post,0.5602973580632367,0.36547990124536495,1049,3115,60.44130551096842,31.177464102402606,0.12526461746927448,0.15906618091336439
Consensus Framing 1,Concern_Post,0.28369874104534976,0.3663998874340433,1042,3115,60.44130551096842,31.177464102402606,0.43876097440776374,0.46801170603494796
Consensus Framing 2,Concern_Post,1.2986098654347327,0.367993422618582,1030,3115,60.44130551096842,31.177464102402606,0.00041729988211787066,0.0011511720886010226
Dire But Solvable Framing,Concern_Post,1.8120663213214774,0.36522904848967047,1051,3115,60.44130551096842,31.177464102402606,6.996823263344989e-07,5.088598736978174e-06
Free Market Framing,Concern_Post,0.9385754970591046,0.36653267793121325,1041,3115,60.44130551096842,31.177464102402606,0.01044653984426022,0.018167895381322123
Gains Framing,Concern_Post,1.8997386261571174,0.36925586755476575,1021,3115,60.44130551096842,31.177464102402606,2.678405889314329e-07,2.38080523494607e-06
High Social Distance Framing,Concern_Post,1.4597001831028407,0.36732531751131353,1035,3115,60.44130551096842,31.177464102402606,7.071649527115862e-05,0.00025386319514548837
Purity Framing,Concern_Post,2.4664945867564834,0.3689409371505937,1023,3115,60.44130551096842,31.177464102402606,2.303934555509594e-11,4.6078691110191884e-10
System Preservation Framing,Concern_Post,2.2842473421904024,0.3666750417673236,1040,3115,60.44130551096842,31.177464102402606,4.675583873300544e-10,7.48093419728087e-09
Warmth Framing,Concern_Post,-0.760676538178254,0.3705830160328835,1011,3115,60.44130551096842,31.177464102402606,0.040106715186836825,0.06053843801786691
Binding Framing,Policies_Post,0.029442691004124767,0.46512624943545866,1053,3115,68.00716960941679,29.05056365178293,0.9495272743704525,0.9615466069574203
Consensus Framing 1,Policies_Post,-0.46272619283984734,0.46679252055594556,1043,3115,68.00716960941679,29.05056365178293,0.3215445852575368,0.3623037580366612
Consensus Framing 2,Policies_Post,1.5915062658388006,0.468837754165685,1031,3115,68.00716960941679,29.05056365178293,0.0006873448959420155,0.0016172821080988598
Dire But Solvable Framing,Policies_Post,1.475269315625163,0.4651279895531757,1053,3115,68.00716960941679,29.05056365178293,0.001515238179469819,0.003276190658313122
Free Market Framing,Policies_Post,0.9321710485424061,0.4673089149377331,1040,3115,68.00716960941679,29.05056365178293,0.04606861421256567,0.06700889340009551
Gains Framing,Policies_Post,1.142982426776506,0.47040870531562917,1022,3115,68.00716960941679,29.05056365178293,0.015108631505693186,0.025181052509488645
High Social Distance Framing,Policies_Post,0.4143729248405312,0.4683211808688773,1034,3115,68.00716960941679,29.05056365178293,0.37626180952247024,0.40676952380807596
Purity Framing,Policies_Post,1.654511767044837,0.47019898699714696,1023,3115,68.00716960941679,29.05056365178293,0.0004335882742377668,0.0011562353979673783
System Preservation Framing,Policies_Post,1.4778094234202686,0.4674785491047783,1039,3115,68.00716960941679,29.05056365178293,0.001571018431726599,0.0033074072246875768
Warmth Framing,Policies_Post,-0.635625986371474,0.4728221025477123,1008,3115,68.00716960941679,29.05056365178293,0.1788437157693481,0.2135447352469828
Binding Framing,Intent_Post,1.389332130628241,0.44094600351535645,1049,3099,33.85680864795095,29.260866235227482,0.001628246233079477,0.003339992272983543
