condition,trust_multidimensional,trust_post,distrust_post,funding_perceptions,policy_role_mean,inst_trust_mean,belief_post,concern_mean,policy_general,policy_specific_mean,behavior_mean,donation_ams,newsletter_signup
control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consensus,1.0354,1.093,-0.7807,0.3123,0.3123,0.2915,1.2813,0.229,0.2083,0.177,0.1873,-0.3633,0.4667
Corporate reliance,1.0815,1.1427,-0.816,0.3263,0.3264,0.3047,0.3047,0.2393,0.2177,0.185,0.1958,-0.3233,0.5
Extreme weather predictions,1.0552,1.122,-0.8013,0.3207,0.3206,0.2991,0.299,0.235,0.2137,0.1816,0.1923,-0.34,0.4667
Former skeptics,1.0504,1.122,-0.8013,0.3207,0.3206,0.2991,0.299,0.235,0.2137,0.1816,0.1923,-0.34,0.4667
Funding,0.9767,1.0127,-0.7233,1.6643,0.2893,0.2701,0.27,0.2122,0.193,0.164,0.1736,-0.43,0.4333
High public trust,1.126,1.349,-0.61,0.244,0.244,0.2278,0.2277,0.179,0.1627,0.1383,0.1464,-0.5633,0.3667
Interview Prof. Maraun,1.2298,1.279,-0.9133,0.3653,0.3654,0.341,0.341,0.2679,0.2437,0.207,0.2192,-0.2067,0.5333
Interview Prof. Sebille,1.0508,1.117,-0.7977,0.319,0.3191,0.2978,0.2977,0.234,0.2127,0.1808,0.1914,-0.3433,0.4667
Measurement & modeling (1),0.8775,0.9377,-0.67,0.268,0.2679,0.2501,0.25,0.1966,0.1787,0.1519,0.1608,-0.4933,0.4
Measurement & modeling (2),0.9438,1.016,-0.7257,0.2903,0.2903,0.2709,0.271,0.2129,0.1937,0.1645,0.1742,-0.43,0.4333
Model accuracy,0.9974,1.057,-0.755,0.302,0.302,0.2819,0.282,0.2214,0.2013,0.1711,0.1812,-0.3933,0.4667
Oil industry misinformation,0.7737,0.8063,-0.576,0.2303,0.2303,0.2151,0.215,0.1691,0.1537,0.1306,0.1383,-0.6033,0.3333
Peer-review,1.1537,1.2107,-0.865,0.346,0.346,0.3229,0.323,0.2537,0.2307,0.196,0.2075,-0.2633,0.5333
Portrait Prof. Cherry,1.1235,1.2003,-0.8573,0.343,0.343,0.3201,0.32,0.2514,0.2287,0.1943,0.2057,-0.2733,0.5
Scientist community helpers,0.9792,1.033,-0.738,0.2953,0.2952,0.2755,0.2757,0.2164,0.1967,0.1673,0.1771,-0.4133,0.4333
Social justice,0.7809,0.7963,-0.5687,0.2273,0.2274,0.2124,0.2123,0.1669,0.1517,0.1289,0.1366,-0.6133,0.3333
