code_name,title,tag
control neckties,control,Control
control baseball,control,Control
control dances,control,Control
practical planarian,Extreme weather predictions,Applications and impact
complicated cockroach,Portrait Prof. Cherry,Applications and impact
flimsy fish,Interview Prof. Maraun,Collaboration and peer-review
honored haddock,Peer-review,Collaboration and peer-review
jealous jaguar,Consensus,Other
phony parrotfish,Funding,Other
crushing chicken; gross grasshopper; homely halibut,High public trust,Other
worse wildfowl,Oil industry misinformation,Other
periwinkle partridge,Scientist community helpers,Other
difficult dog,Social justice,Other
giant gibbon; brick bobcat,Corporate reliance,Others' endorsement
limping llama; friendly frog,Former skeptics,Others' endorsement
perfect prawn,Measurement & modeling (1),Scientific methods and results
orchid orangutan; defiant dragonfly,Measurement & modeling (2),Scientific methods and results
apple aardvark,Model accuracy,Scientific methods and results
heartfelt hummingbird,Interview Prof. Sebille,Values
